city_id,mayor_id,start_date,end_date
97401,M0168,1943-01-01,1961-12-28
97401,M0169,1962-02-01,1983-03-01
97401,M0170,1983-03-01,1987-04-01
97401,M0171,1987-05-31,2017-10-22
97401,M0172,2017-10-22,2020-07-05
97401,M0173,2020-07-05,
97402,M0064,1882-01-01,1882-01-01
97402,M0065,1882-01-01,1887-01-01
97402,M0066,1887-01-01,1896-01-01
97402,M0067,1896-01-01,1904-01-01
97402,M0068,1904-01-01,1920-01-01
97402,M0069,1920-01-01,1925-01-01
97402,M0046,1925-01-01,1942-01-01
97402,M0070,1942-01-01,1959-03-15
97402,M0071,1959-03-15,1995-06-18
97402,M0072,1995-06-18,2001-03-18
97402,M0073,2001-03-18,2020-01-01
97402,M0074,2020-01-01,
97403,M0148,1945-05-13,1945-09-15
97403,M0149,1945-09-15,1959-03-01
97403,M0150,1959-03-01,1977-03-01
97403,M0151,1977-03-01,2001-03-01
97403,M0152,2001-03-01,2026-03-01
97403,M0153,2026-03-01,
97404,M0154,1945-05-27,1961-04-12
97404,M0155,1961-04-13,1971-03-22
97404,M0156,1971-03-22,1977-03-13
97404,M0157,1977-03-13,1997-05-01
97404,M0158,1997-05-01,2022-01-01
97404,M0159,2022-02-26,
97405,M0174,1945-06-01,1959-03-01
97405,M0175,1959-03-01,1983-03-14
97405,M0176,1983-03-14,2008-03-16
97405,M0177,2008-03-16,2014-03-30
97405,M0178,2014-03-30,
97406,M0095,1945-05-01,1953-05-01
97406,M0096,1953-05-01,1971-03-01
97406,M0097,1971-03-01,1989-03-12
97406,M0098,1989-03-12,2008-03-16
97406,M0099,2008-03-16,2014-03-30
97406,M0098,2014-03-30,2020-07-03
97406,M0100,2020-07-03,
97407,M0001,1945-06-01,1961-11-14
97407,M0002,1962-01-31,1962-03-25
97407,M0003,1962-03-25,1971-03-21
97407,M0004,1971-03-21,1989-03-12
97407,M0005,1989-03-12,1994-03-24
97407,M0006,1994-03-24,2014-04-04
97407,M0007,2014-04-04,
97408,M0008,1945-05-27,1946-12-03
